Ausübungspreis	eurocall	amcall	europut	amput
180	102.8090721	102.8090721	23.43747435	23.89584313
182	101.6382771	101.6382771	24.16343942	24.63388489
184	100.4674822	100.4674822	24.88940449	25.37416196
186	99.29668723	99.29668723	25.61536955	26.12050216
188	98.12589227	98.12589227	26.34133462	26.8703538
190	96.95509732	96.95509732	27.06729969	27.62020545
192	95.78430236	95.78430236	27.79326475	28.37005709
194	94.6135074	94.6135074	28.51922982	29.121016
196	93.44271244	93.44271244	29.24519489	29.89048983
198	92.27191748	92.27191748	29.97115995	30.6621277
200	91.10112253	91.10112253	30.69712502	31.45989489
202	89.93032757	89.93032757	31.42309009	32.30418606
204	89.00228662	89.00228662	32.39180917	33.33534194
206	88.17370739	88.17370739	33.45998996	34.4191605
208	87.34512816	87.34512816	34.52817076	35.50311186
210	86.51654893	86.51654893	35.59635155	36.58706321
212	85.6879697	85.6879697	36.66453234	37.67101457
214	84.85939047	84.85939047	37.73271314	38.75496593
216	84.03081124	84.03081124	38.80089393	39.83891729
218	83.20223201	83.20223201	39.86907473	40.92286865
220	82.37365277	82.37365277	40.93725552	42.00785366
222	81.54507354	81.54507354	42.00543631	43.09625586
224	80.71649431	80.71649431	43.07361711	44.18465806
226	79.88791508	79.88791508	44.1417979	45.27306026
228	79.05933585	79.05933585	45.2099787	46.36242528
230	78.23075662	78.23075662	46.27815949	47.45538757
232	77.40217739	77.40217739	47.34634028	48.54834986
234	76.57359816	76.57359816	48.41452108	49.64131215
236	75.74501893	75.74501893	49.48270187	50.73427444
238	74.91643969	74.91643969	50.55088267	51.8309556
240	74.08786046	74.08786046	51.61906346	52.92787522
242	73.25928123	73.25928123	52.68724425	54.02479484
244	72.430702	72.430702	53.75542505	55.12171447
246	71.60212277	71.60212277	54.82360584	56.21863409
248	70.77354354	70.77354354	55.89178663	57.31761719
250	69.94496431	69.94496431	56.95996743	58.42500422
252	69.11638508	69.11638508	58.02814822	59.54106335
254	68.28780585	68.28780585	59.09632902	60.65775133
256	67.45922661	67.45922661	60.16450981	61.77443931
258	66.63064738	66.63064738	61.2326906	62.8911273
260	65.80206815	65.80206815	62.3008714	64.00943462
262	64.97348892	64.97348892	63.36905219	65.1305846
264	64.14490969	64.14490969	64.43723299	66.27094412
266	63.31633046	63.31633046	65.50541378	67.41776392
268	62.48775123	62.48775123	66.57359457	68.56499028
270	61.659172	61.659172	67.64177537	69.73852451
272	60.83059277	60.83059277	68.70995616	70.93400525
274	60.0126576	60.0126576	69.78878102	72.19796001
276	59.50251967	59.50251967	71.17540312	73.61414281
278	58.99238175	58.99238175	72.56202522	75.03409275
280	58.48224382	58.48224382	73.94864732	76.45422685
282	57.9721059	57.9721059	75.33526942	77.87436094
284	57.46196797	57.46196797	76.72189152	79.29449504
286	56.95183005	56.95183005	78.10851362	80.71462913
288	56.44169212	56.44169212	79.49513572	82.13476323
290	55.9315542	55.9315542	80.88175782	83.55489732
292	55.42141627	55.42141627	82.26837992	84.97503142
294	54.91127835	54.91127835	83.65500202	86.39516551
296	54.40114042	54.40114042	85.04162412	87.81695495
298	53.8910025	53.8910025	86.42824622	89.24351453
300	53.38086457	53.38086457	87.81486832	90.67333457
302	52.87072665	52.87072665	89.20149042	92.1031546
304	52.36058872	52.36058872	90.58811252	93.53297464
306	51.8504508	51.8504508	91.97473462	94.96279467
308	51.34031287	51.34031287	93.36135672	96.39327694
310	50.83017495	50.83017495	94.74797882	97.82807
312	50.32003702	50.32003702	96.13460092	99.26555701
314	49.8098991	49.8098991	97.52122302	100.7043947
316	49.29976117	49.29976117	98.90784512	102.1432324
318	48.78962325	48.78962325	100.2944672	103.58207
