S_0	CALL_EURO_BIN	CALL_AM	PUT_EURO	PUT_AM
175	29.82242086	29.82242086	82.43362386	85.29105361
177	30.85592171	30.85592171	81.46712471	84.24599619
179	31.88942257	31.88942257	80.50062556	83.21521992
181	32.92292342	32.92292342	79.53412641	82.20036042
183	33.95642427	33.95642427	78.56762727	81.18550093
185	34.98992512	34.98992512	77.60112812	80.17064143
187	36.02342597	36.02342597	76.63462897	79.15578193
189	37.05692682	37.05692682	75.66812982	78.14769586
191	38.09042768	38.09042768	74.70163067	77.14117445
193	39.12392853	39.12392853	73.73513152	76.1350166
195	40.15742938	40.15742938	72.76863237	75.13585883
197	41.19093023	41.19093023	71.80213323	74.14045732
199	42.22443108	42.22443108	70.83563408	73.14505581
201	43.25793193	43.25793193	69.86913493	72.1496543
203	44.29143279	44.29143279	68.90263578	71.15981105
205	45.32493364	45.32493364	67.93613663	70.17586099
207	46.35843449	46.35843449	66.96963748	69.19191093
209	47.39193534	47.39193534	66.00313834	68.20796087
211	48.42543619	48.42543619	65.03663919	67.22401081
213	49.45893704	49.45893704	64.07014004	66.24006075
215	50.4924379	50.4924379	63.10364089	65.25611068
217	51.52593875	51.52593875	62.13714174	64.27216062
219	52.72905901	52.72905901	61.340262	63.36885103
221	54.11199656	54.11199656	60.72319956	62.61848391
223	55.49493412	55.49493412	60.10613711	61.90292996
225	56.87787168	56.87787168	59.48907467	61.21699926
227	58.26080923	58.26080923	58.87201223	60.53150005
229	59.64374679	59.64374679	58.25494978	59.8636062
231	61.02668435	61.02668435	57.63788734	59.20688028
233	62.4096219	62.4096219	57.0208249	58.55248957
235	63.79255946	63.79255946	56.40376245	57.89860099
237	65.17549702	65.17549702	55.78670001	57.24471242
239	66.55843457	66.55843457	55.16963757	56.59127885
241	67.94137213	67.94137213	54.55257513	55.94641953
243	69.32430969	69.32430969	53.93551268	55.30932216
245	70.70724724	70.70724724	53.31845024	54.67512493
247	72.0901848	72.0901848	52.7013878	54.04092769
249	73.47312236	73.47312236	52.08432535	53.40673046
251	74.85605991	74.85605991	51.46726291	52.77253322
253	76.23899747	76.23899747	50.85020047	52.13833598
255	77.62193503	77.62193503	50.23313802	51.50689893
257	79.00487258	79.00487258	49.61607558	50.87644065
259	80.38781014	80.38781014	48.99901314	50.24598236
261	81.7707477	81.7707477	48.38195069	49.61552407
263	83.15368525	83.15368525	47.76488825	48.98548758
265	84.53662281	84.53662281	47.14782581	48.35918646
267	85.91956037	85.91956037	46.53076336	47.73288534
269	87.30249792	87.30249792	45.91370092	47.10658423
271	88.68543548	88.68543548	45.29663848	46.48028311
273	90.06837304	90.06837304	44.67957603	45.85508901
275	91.45131059	91.45131059	44.06251359	45.23203688
277	92.83424815	92.83424815	43.44545115	44.60964708
279	94.21718571	94.21718571	42.8283887	43.98725727
281	95.60012326	95.60012326	42.21132626	43.36486747
283	96.98306082	96.98306082	41.59426382	42.74247767
285	98.36599838	98.36599838	40.97720137	42.12008787
287	99.74893593	99.74893593	40.36013893	41.49769807
289	101.1318735	101.1318735	39.74307649	40.87530827
291	102.514811	102.514811	39.12601404	40.25291847
293	103.8977486	103.8977486	38.5089516	39.63052866
295	105.2808213	105.2808213	37.89202425	39.00904215
297	106.9423254	106.9423254	37.55352843	38.5417343
299	108.6038296	108.6038296	37.21503261	38.13481679
301	110.2653338	110.2653338	36.87653679	37.73934712
303	111.926838	111.926838	36.53804097	37.36767234
305	113.5883422	113.5883422	36.19954515	36.99840037
307	115.2498463	115.2498463	35.86104933	36.62912839
309	116.9113505	116.9113505	35.52255351	36.26878314
311	118.5728547	118.5728547	35.18405769	35.91593067
313	120.2343589	120.2343589	34.84556187	35.56364628
315	121.8958631	121.8958631	34.50706605	35.21136188
317	123.5573672	123.5573672	34.16857023	34.85907749
319	125.2188714	125.2188714	33.83007441	34.50679309
321	126.8803756	126.8803756	33.49157859	34.15450869
323	128.5418798	128.5418798	33.15308277	33.8022243
325	130.2033839	130.2033839	32.81458695	33.45461107
