Schrittanzahl	bin-call	BS-call	am-call	bin-put	BS-put	am-put
1	86.74066282	73.4424644	86.74066282	64.1558137	50.85761528	64.1558137
2	67.40354348	73.4424644	67.40354348	44.81869436	50.85761528	48.234651
3	78.01870148	73.4424644	78.01870148	55.43385235	50.85761528	56.64688339
4	70.47654836	73.4424644	70.47654836	47.89169924	50.85761528	50.50112197
5	76.17228233	73.4424644	76.17228233	53.58743321	50.85761528	54.86157254
6	71.54843197	73.4424644	71.54843197	48.96358285	50.85761528	51.15804683
7	75.38035504	73.4424644	75.38035504	52.79550592	50.85761528	54.07693219
8	72.08369029	73.4424644	72.08369029	49.49884117	50.85761528	51.42999943
9	74.94148189	73.4424644	74.94148189	52.35663276	50.85761528	53.64387716
10	72.40134611	73.4424644	72.40134611	49.81649699	50.85761528	51.642622
11	74.66286342	73.4424644	74.66286342	52.0780143	50.85761528	53.38265231
12	72.61020609	73.4424644	72.61020609	50.02535697	50.85761528	51.75813849
13	74.47035196	73.4424644	74.47035196	51.88550283	50.85761528	53.19026041
14	72.75720759	73.4424644	72.75720759	50.17235847	50.85761528	51.85007413
15	74.32940067	73.4424644	74.32940067	51.74455154	50.85761528	53.06305867
16	72.86582282	73.4424644	72.86582282	50.28097369	50.85761528	51.91641078
17	74.22175346	73.4424644	74.22175346	51.63690434	50.85761528	52.95754958
18	72.94905473	73.4424644	72.94905473	50.3642056	50.85761528	51.96079347
19	74.13685925	73.4424644	74.13685925	51.55201012	50.85761528	52.87478292
20	73.0146707	73.4424644	73.0146707	50.42982158	50.85761528	51.99598057
21	74.06819647	73.4424644	74.06819647	51.48334735	50.85761528	52.80684815
22	73.06758755	73.4424644	73.06758755	50.48273843	50.85761528	52.02514223
