Risikofreier_Zinssatz	CALL_Europäisch_(Binomialmodell)	CALL_Amerikanisch	PUT_Europäisch_(Binomialmodell)	PUT_Amerikanisch
0.1	69.14179981	69.14179981	58.82191977	58.84262386
0.3	69.33010405	69.33010405	58.53118297	58.59352466
0.5	69.51857025	69.51857025	58.24156526	58.3465005
0.7	69.70719747	69.70719747	57.95306377	58.10079931
0.9	69.89598476	69.89598476	57.66567566	57.85776946
1.1	70.08493116	70.08493116	57.37939807	57.61706173
1.3	70.27403572	70.27403572	57.09422813	57.37700376
1.5	70.4632975	70.4632975	56.810163	57.13784214
1.7	70.65271552	70.65271552	56.52719983	56.90112802
1.9	70.84228884	70.84228884	56.24533578	56.6693158
2.1	71.03201649	71.03201649	55.96456799	56.43809981
2.3	71.22189752	71.22189752	55.68489362	56.20748005
2.5	71.41193095	71.41193095	55.40630984	55.97745652
2.7	71.60211584	71.60211584	55.12881381	55.74874348
2.9	71.79245121	71.79245121	54.85240269	55.52200636
3.1	71.98293611	71.98293611	54.57707364	55.29584824
3.3	72.17356955	72.17356955	54.30282385	55.07061214
3.5	72.36435057	72.36435057	54.02965047	54.84921114
3.7	72.5552782	72.5552782	53.75755069	54.63105692
3.9	72.74635148	72.74635148	53.48652167	54.41538167
4.1	72.93756942	72.93756942	53.21656061	54.20022546
4.3	73.12893106	73.12893106	52.94766467	53.98558848
4.5	73.32043541	73.32043541	52.67983105	53.77147095
4.7	73.51208151	73.51208151	52.41305693	53.55787305
4.9	73.70386837	73.70386837	52.1473395	53.34540125
5.1	73.89579501	73.89579501	51.88267594	53.13639088
5.3	74.08786046	74.08786046	51.61906346	52.92787522
5.5	74.28006374	74.28006374	51.35649925	52.71985452
5.7	74.47240385	74.47240385	51.0949805	52.51232904
5.9	74.66487982	74.66487982	50.83450442	52.30529901
6.1	74.85749067	74.85749067	50.57506821	52.09876467
6.3	75.0502354	75.0502354	50.31666908	51.89335653
6.5	75.24311303	75.24311303	50.05930424	51.69116748
6.7	75.43612257	75.43612257	49.80297089	51.4922753
6.9	75.62926303	75.62926303	49.54766625	51.29487332
7.1	75.82253343	75.82253343	49.29338754	51.09791989
7.3	76.01593277	76.01593277	49.04013197	50.90141534
7.5	76.20946005	76.20946005	48.78789677	50.70535999
7.7	76.40311429	76.40311429	48.53667916	50.51163278
7.9	76.5968945	76.5968945	48.28647636	50.31872436
8.1	76.79079967	76.79079967	48.03728561	50.12625149
8.3	76.98482881	76.98482881	47.78910414	49.93709755
8.5	77.17898092	77.17898092	47.54192918	49.74855279
8.7	77.37325501	77.37325501	47.29575796	49.56042565
8.9	77.56765007	77.56765007	47.05058773	49.37271648
9.1	77.76216512	77.76216512	46.80641573	49.18611518
9.3	77.95679914	77.95679914	46.56323921	49.00337426
9.5	78.15155113	78.15155113	46.3210554	48.82102618
9.7	78.3464201	78.3464201	46.07986157	48.63907136
9.9	78.54140504	78.54140504	45.83965496	48.45751015
10.1	78.73650494	78.73650494	45.60043283	48.27634294
