Volatilität	CALL_Europäisch_(Binomialmodell)	CALL_Amerikanisch	PUT_Europäisch_(Binomialmodell)	PUT_Amerikanisch
2	22.5225502	22.5225502	0.053753198	0
3	22.46880217	22.46880217	5.17E-06	5.30E-05
4	22.47806193	22.47806193	0.009264923	0.021743103
5	22.55684899	22.55684899	0.088051981	0.156235276
6	22.74768194	22.74768194	0.278884935	0.443453774
7	23.04605905	23.04605905	0.577262047	0.855543801
8	23.43459899	23.43459899	0.965801986	1.35920107
9	23.94663436	23.94663436	1.477837355	1.952252483
10	24.53953292	24.53953292	2.070735914	2.607711178
11	25.19156228	25.19156228	2.722765276	3.31803863
12	25.89031289	25.89031289	3.42151589	4.062872667
13	26.62632491	26.62632491	4.157527905	4.836404975
14	27.39236713	27.39236713	4.923570123	5.636813206
15	28.18286598	28.18286598	5.714068975	6.463224545
16	28.99347998	28.99347998	6.524682979	7.303854864
17	29.82078905	29.82078905	7.351992044	8.156443714
18	30.66206845	30.66206845	8.193271451	9.021623287
19	31.51512375	31.51512375	9.046326745	9.895744948
20	32.37816919	32.37816919	9.909372191	10.77821848
21	33.24973742	33.24973742	10.78094042	11.66615881
22	34.1286116	34.1286116	11.65981459	12.55998751
23	35.01377393	35.01377393	12.54497693	13.4603693
24	35.90436625	35.90436625	13.43556924	14.36408713
25	36.79965945	36.79965945	14.33086244	15.27562982
26	37.69902968	37.69902968	15.23023267	16.19105517
27	38.60193951	38.60193951	16.13314251	17.10861776
28	39.50792305	39.50792305	17.03912605	18.02798034
29	40.41657396	40.41657396	17.94777695	18.94885132
30	41.32753578	41.32753578	18.85873877	19.8709768
31	42.24049414	42.24049414	19.77169714	20.79413427
32	43.15517033	43.15517033	20.68637333	21.7181275
33	44.071316	44.071316	21.602519	22.64350361
34	44.98870882	44.98870882	22.51991182	23.57101537
35	45.90714884	45.90714884	23.43835183	24.498922
36	46.82645541	46.82645541	24.3576584	25.4270947
37	47.74646468	47.74646468	25.27766768	26.3554167
38	48.66702741	48.66702741	26.1982304	27.2840257
39	49.5880071	49.5880071	27.1192101	28.2132125
40	50.5092785	50.5092785	28.0404815	29.14226389
41	51.43072621	51.43072621	28.9619292	30.07109632
42	52.35224354	52.35224354	29.88344653	30.99975664
43	53.27373154	53.27373154	30.80493454	31.92981651
44	54.19509814	54.19509814	31.72630114	32.85944872
45	55.11625739	55.11625739	32.64746038	33.78858898
46	56.0371288	56.0371288	33.5683318	34.71717687
47	56.95763682	56.95763682	34.48883982	35.64515537
48	57.8777103	57.8777103	35.40891329	36.57247052
49	58.79728206	58.79728206	36.32848506	37.49907112
50	59.71628855	59.71628855	37.24749154	38.42497621
